domain,video_stem,start_frame,end_frame,duration_frames
artificial_jewellery,video_20260404_114752,90,4620,4531
artificial_jewellery,video_20260404_114752,4770,6750,1981
artificial_jewellery,video_20260404_114752,6960,7020,61
artificial_jewellery,video_20260404_114752,7530,12120,4591
