hand_id,handedness,landmark_id,x_norm,y_norm,z_norm,x_px,y_px,domain,video_stem,frame_file,frame_id
0,Right,17,0.5114194750785828,0.24033965170383453,0.02811136282980442,981,259,artificial_jewellery,video_20260404_121005,frame_000060.jpg,000060
0,Right,18,0.5417267084121704,0.22012925148010254,0.001770269824191928,1040,237,artificial_jewellery,video_20260404_121005,frame_000060.jpg,000060
0,Right,19,0.534877598285675,0.2638930082321167,-0.0039228154346346855,1026,285,artificial_jewellery,video_20260404_121005,frame_000060.jpg,000060
0,Right,20,0.5193780660629272,0.29239997267723083,0.0016463594511151314,997,315,artificial_jewellery,video_20260404_121005,frame_000060.jpg,000060
0,Right,0,0.4297044277191162,0.45820194482803345,4.886892384092789e-07,825,494,artificial_jewellery,video_20260404_121005,frame_000150.jpg,000150
0,Right,1,0.4464911222457886,0.4029165804386139,-0.06358816474676132,857,435,artificial_jewellery,video_20260404_121005,frame_000150.jpg,000150
0,Right,2,0.4647931754589081,0.3053593635559082,-0.08165797591209412,892,329,artificial_jewellery,video_20260404_121005,frame_000150.jpg,000150
0,Right,3,0.49497002363204956,0.2178364098072052,-0.0863829180598259,950,235,artificial_jewellery,video_20260404_121005,frame_000150.jpg,000150
0,Right,4,0.5209951996803284,0.14211080968379974,-0.08614616096019745,1000,153,artificial_jewellery,video_20260404_121005,frame_000150.jpg,000150
0,Right,5,0.38832852244377136,0.21370723843574524,-0.037367261946201324,745,230,artificial_jewellery,video_20260404_121005,frame_000150.jpg,000150
0,Right,6,0.43299391865730286,0.09744775295257568,-0.056805502623319626,831,105,artificial_jewellery,video_20260404_121005,frame_000150.jpg,000150
0,Right,7,0.48032546043395996,0.0930171012878418,-0.07547172158956528,922,100,artificial_jewellery,video_20260404_121005,frame_000150.jpg,000150
0,Right,8,0.510456919670105,0.12254533171653748,-0.08458052575588226,980,132,artificial_jewellery,video_20260404_121005,frame_000150.jpg,000150
0,Right,9,0.40474316477775574,0.20706996321678162,-0.0047310832887887955,777,223,artificial_jewellery,video_20260404_121005,frame_000150.jpg,000150
0,Right,10,0.44603732228279114,0.09546777606010437,-0.02496163733303547,856,103,artificial_jewellery,video_20260404_121005,frame_000150.jpg,000150
0,Right,11,0.49525272846221924,0.10170479118824005,-0.0487905815243721,950,109,artificial_jewellery,video_20260404_121005,frame_000150.jpg,000150
0,Right,12,0.525734543800354,0.13338172435760498,-0.061545442789793015,1009,144,artificial_jewellery,video_20260404_121005,frame_000150.jpg,000150
0,Right,13,0.4260415732860565,0.21270757913589478,0.022696569561958313,817,229,artificial_jewellery,video_20260404_121005,frame_000150.jpg,000150
0,Right,14,0.4643111526966095,0.1238340362906456,0.0027192675042897463,891,133,artificial_jewellery,video_20260404_121005,frame_000150.jpg,000150
