domain,video_stem,start_frame,end_frame,duration_frames,dominant_grasp,grasp_distribution,motion_speed_px,motion_label,hands_used,dominant_handedness,bimanual
artificial_jewellery,video_20260404_115542,150,690,541,pinch,"{""pinch"": 20, ""open_hand"": 4, ""partial_grip"": 1}",343.023,fast,2,Right,True
artificial_jewellery,video_20260404_115542,3060,11520,8461,pinch,"{""pinch"": 265, ""open_hand"": 26, ""partial_grip"": 7, ""closed_power"": 7}",379.226,fast,2,Right,True
