domain,video_stem,start_frame,end_frame,duration_frames,dominant_grasp,grasp_distribution,motion_speed_px,motion_label,hands_used,dominant_handedness,bimanual
artificial_jewellery,video_20260404_121005,0,1740,1741,pinch,"{""pinch"": 17, ""open_hand"": 3, ""closed_power"": 1}",192.8,fast,2,Right,True
artificial_jewellery,video_20260404_121005,2370,2580,211,pinch,"{""pinch"": 3}",129.482,fast,1,Right,False
