hand_id,handedness,object_label,object_source,object_conf,x1,y1,x2,y2,fingertips_inside,min_tip_dist_px,domain,video_stem,frame_id
1,Right,person,yolo,0.635286808013916,1.532958984375,242.44775390625,704.6232299804688,1065.889892578125,4,0.0,artificial_jewellery,video_20260405_105612_edit,240
1,Right,bed,yolo,0.3235533535480499,2.32196044921875,35.217315673828125,1790.3563232421875,1073.18017578125,5,0.0,artificial_jewellery,video_20260405_105612_edit,240
1,Right,small_object_proposal,heuristic,1.0,552.0,265.0,586.0,387.0,2,0.0,artificial_jewellery,video_20260405_105612_edit,240
1,Right,small_object_proposal,heuristic,1.0,638.0,287.0,682.0,337.0,0,15.0,artificial_jewellery,video_20260405_105612_edit,240
1,Right,small_object_proposal,heuristic,1.0,567.0,241.0,576.0,356.0,1,0.0,artificial_jewellery,video_20260405_105612_edit,240
1,Right,small_object_proposal,heuristic,1.0,542.0,185.0,576.0,215.0,0,14.0,artificial_jewellery,video_20260405_105612_edit,240
1,Right,small_object_proposal,heuristic,1.0,654.0,344.0,688.0,373.0,1,0.0,artificial_jewellery,video_20260405_105612_edit,240
0,Right,person,yolo,0.3425807654857635,673.3423461914062,233.86907958984375,1402.997802734375,1049.58837890625,5,0.0,artificial_jewellery,video_20260405_105612_edit,270
0,Right,bed,yolo,0.3293825089931488,2.70135498046875,44.471282958984375,1749.740478515625,1076.0362548828125,5,0.0,artificial_jewellery,video_20260405_105612_edit,270
0,Right,small_object_proposal,heuristic,1.0,776.0,254.0,818.0,366.0,1,0.0,artificial_jewellery,video_20260405_105612_edit,270
1,Right,person,yolo,0.652094841003418,2.424957275390625,246.0501708984375,677.7144165039062,1067.5302734375,4,0.0,artificial_jewellery,video_20260405_105612_edit,270
1,Right,bed,yolo,0.3293825089931488,2.70135498046875,44.471282958984375,1749.740478515625,1076.0362548828125,5,0.0,artificial_jewellery,video_20260405_105612_edit,270
1,Right,small_object_proposal,heuristic,1.0,618.0,355.0,696.0,404.0,1,0.0,artificial_jewellery,video_20260405_105612_edit,270
1,Right,small_object_proposal,heuristic,1.0,541.0,252.0,555.0,322.0,0,22.0,artificial_jewellery,video_20260405_105612_edit,270
0,Left,person,yolo,0.6090372800827026,2.12786865234375,243.09548950195312,672.3382568359375,1068.4151611328125,5,0.0,artificial_jewellery,video_20260405_105612_edit,300
0,Left,bed,yolo,0.4398261904716491,2.750244140625,15.252227783203123,1793.8740234375,1077.6439208984375,5,0.0,artificial_jewellery,video_20260405_105612_edit,300
0,Left,small_object_proposal,heuristic,1.0,556.0,253.0,577.0,341.0,0,5.0,artificial_jewellery,video_20260405_105612_edit,300
1,Left,person,yolo,0.6090372800827026,2.12786865234375,243.09548950195312,672.3382568359375,1068.4151611328125,0,18.6617431640625,artificial_jewellery,video_20260405_105612_edit,300
1,Left,bed,yolo,0.4398261904716491,2.750244140625,15.252227783203123,1793.8740234375,1077.6439208984375,5,0.0,artificial_jewellery,video_20260405_105612_edit,300
1,Left,person,yolo,0.3966296911239624,658.3837280273438,222.03616333007812,1412.6756591796875,948.0802612304688,5,0.0,artificial_jewellery,video_20260405_105612_edit,300
1,Left,small_object_proposal,heuristic,1.0,785.0,251.0,810.0,300.0,1,0.0,artificial_jewellery,video_20260405_105612_edit,300
