hand_id,handedness,object_label,object_source,object_conf,x1,y1,x2,y2,fingertips_inside,min_tip_dist_px,domain,video_stem,frame_id
1,Left,refrigerator,yolo,0.2626979649066925,79.57305908203125,1.601348876953125,1916.3131103515625,1066.446533203125,5,0.0,shop,video_20260405_163219_edit,4200
1,Left,small_object_proposal,heuristic,1.0,1278.0,560.0,1333.0,589.0,0,9.0,shop,video_20260405_163219_edit,4200
1,Left,small_object_proposal,heuristic,1.0,1237.0,550.0,1269.0,583.0,1,0.0,shop,video_20260405_163219_edit,4200
0,Left,person,yolo,0.7719175815582275,146.06982421875,106.53799438476562,1852.8687744140625,1067.376708984375,5,0.0,shop,video_20260405_163219_edit,5760
0,Left,person,yolo,0.7008184790611267,1133.5533447265625,264.31182861328125,1920.0,1067.260009765625,5,0.0,shop,video_20260405_163219_edit,5760
0,Left,small_object_proposal,heuristic,1.0,1160.0,288.0,1170.0,326.0,1,0.0,shop,video_20260405_163219_edit,5760
1,Right,person,yolo,0.7719175815582275,146.06982421875,106.53799438476562,1852.8687744140625,1067.376708984375,5,0.0,shop,video_20260405_163219_edit,5760
0,Right,person,yolo,0.2818422019481659,89.33221435546875,124.03472900390624,1760.9805908203125,1052.828369140625,5,0.0,shop,video_20260405_163219_edit,5790
0,Right,person,yolo,0.252324640750885,111.10812377929688,422.23236083984375,550.1021118164062,1068.3175048828125,5,0.0,shop,video_20260405_163219_edit,5790
0,Right,small_object_proposal,heuristic,1.0,517.0,500.0,555.0,527.0,1,0.0,shop,video_20260405_163219_edit,5790
0,Left,person,yolo,0.3022242784500122,0.0,544.9906616210938,289.0003356933594,1071.97119140625,5,0.0,shop,video_20260405_163219_edit,5820
0,Right,person,yolo,0.4599856734275818,1.8530731201171875,477.7261962890625,502.60247802734375,1068.2991943359375,5,0.0,shop,video_20260405_163219_edit,5850
0,Left,person,yolo,0.8100179433822632,311.59259033203125,129.07003784179688,1744.2066650390625,1071.34814453125,5,0.0,shop,video_20260405_163219_edit,5910
0,Left,small_object_proposal,heuristic,1.0,1639.0,723.0,1659.0,763.0,1,0.0,shop,video_20260405_163219_edit,5910
0,Left,person,yolo,0.2815026342868805,264.8829345703125,60.90362548828125,1918.4967041015625,976.2310791015624,5,0.0,shop,video_20260405_163219_edit,6030
0,Left,small_object_proposal,heuristic,1.0,301.0,925.0,333.0,946.0,0,9.486832980505138,shop,video_20260405_163219_edit,6030
