domain,video_stem,start_frame,end_frame,duration_frames,intent,intent_confidence,intent_description,objects_used,grasp_used,motion_used,bimanual,robot_skill,robot_skill_confidence,skill_complexity,dof_required,safety_critical,requires_dual_arm
artificial_jewellery,video_20260404_115542,150,690,541,jewellery_assembling,0.3,"Assembling jewellery components (beads, chains, clasps)","['person', 'small_object_proposal', 'bed', 'cake', 'donut']",pinch,fast,True,dexterous_fine_manipulation,0.8,high,6,False,False
artificial_jewellery,video_20260404_115542,3060,11520,8461,jewellery_assembling,0.3,"Assembling jewellery components (beads, chains, clasps)","['person', 'pizza', 'small_object_proposal', 'couch', 'teddy bear']",pinch,fast,True,dexterous_fine_manipulation,0.8,high,6,False,False
